Dataset,Model,Fusion_method,Weighting_func,Normalization,Best_params,Test_ndcg@10,Test_recall@10,Val_ndcg@10,Improve over SASRec,Improve_over_TIGER,Improve_over_static
Steam,SASRec,none,none,min_max,,0.15250405461352334,,0.1738456850718156,0.0,0.0,
Steam,TIGER,none,none,min_max,,0.15509252389550338,,0.1773431971784363,1.6973117787194225,0.0,
Steam,Static Fusion (score),score,static,min_max,alpha=0.40,0.1578558280001747,0.20077050313016898,0.18014011862115123,3.50926629473154,1.78171328653672,0.0
Steam,Dynamic Fusion (score+linear),score,linear,min_max,"w=0.00,b=0.40",0.1578558280001747,0.20077050313016898,0.18014011862115123,3.50926629473154,1.78171328653672,0.0
Steam,Dynamic Fusion (score+sigmoid),score,sigmoid,min_max,"k=1.00,tau=0.50",0.15792545518739207,0.20083331588534578,0.18016768284763268,3.5549222527936504,1.8266072540011236,0.044108087803569854
Steam,Static Fusion (rank),rank,static,min_max,alpha=0.40,0.15783427083311138,0.20112644207617095,0.17986448059982663,3.4951308233055873,1.767813733855614,0.0
Steam,Dynamic Fusion (rank+linear),rank,linear,min_max,"w=0.00,b=0.40",0.15783427083311138,0.20112644207617095,0.17986448059982663,3.4951308233055873,1.767813733855614,0.0
Steam,Dynamic Fusion (rank+sigmoid),rank,sigmoid,min_max,"k=1.00,tau=0.40",0.15790688796598196,0.20104269173593517,0.17982166231025648,3.5427473493413046,1.8146355477294405,0.04600846982551438
