Dataset,Model,Fusion_method,Weighting_func,Normalization,Best_params,Test_ndcg@10,Test_recall@10,Val_ndcg@10,Improve over SASRec,Improve_over_TIGER,Improve_over_static
Yelp-Yelp_2020,SASRec,none,none,min_max,,0.032072639857883535,,0.03623676714875523,0.0,0.0,
Yelp-Yelp_2020,TIGER,none,none,min_max,,0.025675432816290887,,0.028103844717131087,-19.945994685623607,0.0,
Yelp-Yelp_2020,Static Fusion (score),score,static,min_max,alpha=0.60,0.03512379317036825,0.06296211100522493,0.03933164669933805,9.51325904573063,36.799225242592364,0.0
Yelp-Yelp_2020,Dynamic Fusion (score+linear),score,linear,min_max,"w=0.00,b=0.60",0.03512379317036825,0.06296211100522493,0.03933164669933805,9.51325904573063,36.799225242592364,0.0
Yelp-Yelp_2020,Dynamic Fusion (score+sigmoid),score,sigmoid,min_max,"k=5.00,tau=0.00",0.03520905885863693,0.06365219677302751,0.03923390892951931,9.779110839179808,37.13131580121609,0.24275763114506815
Yelp-Yelp_2020,Static Fusion (rank),rank,static,min_max,alpha=0.60,0.035182144347616,0.06404653149748611,0.03895992572441127,9.695193484262376,37.02648987203506,0.0
Yelp-Yelp_2020,Dynamic Fusion (rank+linear),rank,linear,min_max,"w=0.00,b=0.60",0.035182144347616,0.06404653149748611,0.03895992572441127,9.695193484262376,37.02648987203506,0.0
Yelp-Yelp_2020,Dynamic Fusion (rank+sigmoid),rank,sigmoid,min_max,"k=5.00,tau=0.00",0.035266101236573554,0.06365219677302751,0.0392525752656293,9.956964543113708,37.35348295354714,0.2386349397240352
