Dataset,Model,Fusion_method,Weighting_func,Normalization,Best_params,Test_ndcg@10,Test_recall@10,Val_ndcg@10,Improve over SASRec,Improve_over_TIGER,Improve_over_static
AmazonReviews2023-Office_Products,SASRec,none,none,min_max,,0.019042990286249402,,0.024102013617374757,0.0,0.0,
AmazonReviews2023-Office_Products,TIGER,none,none,min_max,,0.025351091413035983,,0.030597159694887566,33.12558076207993,0.0,
AmazonReviews2023-Office_Products,Static Fusion (score),score,static,min_max,alpha=0.30,0.026109502980336673,0.045618607483833985,0.03162271442248085,37.10820930885981,2.9916328056420514,0.0
AmazonReviews2023-Office_Products,Dynamic Fusion (score+linear),score,linear,min_max,"w=4.00,b=0.20",0.026361753793441967,0.04620524119153815,0.031820269859087834,38.432847978068395,3.986662206922905,0.9661264455905825
AmazonReviews2023-Office_Products,Dynamic Fusion (score+sigmoid),score,sigmoid,min_max,"k=13.00,tau=0.10",0.0263509493967605,0.04612463503322765,0.031840387817275474,38.376111107865476,3.9440431476270623,0.9247453565303961
AmazonReviews2023-Office_Products,Static Fusion (rank),rank,static,min_max,alpha=0.30,0.02597152535020487,0.04582012287961022,0.03142100989463193,36.38365067569477,2.447365784219647,0.0
AmazonReviews2023-Office_Products,Dynamic Fusion (rank+linear),rank,linear,min_max,"w=2.00,b=0.20",0.02616662114780057,0.04622763179106884,0.0315217077634696,37.40815257725051,3.216941320109115,0.7511911409322041
AmazonReviews2023-Office_Products,Dynamic Fusion (rank+sigmoid),rank,sigmoid,min_max,"k=5.00,tau=0.20",0.02613027895442393,0.04611120067350923,0.03156214037786819,37.21730968529732,3.0735857825327133,0.6112602247207074
